x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.03,0.04,0.2,0.3,0.45,0.5,0.39332,0.00869,0.0213,0.32857,0.00793,0.01797,0.95913,0.94998,0.97709,1.07178,1.07847
0.03,0.04,0.2,0.3,0.5,0.55,0.30081,0.00759,0.01648,0.23134,0.00659,0.01292,0.9441,0.9308,0.97709,1.07593,1.08261
0.03,0.04,0.2,0.3,0.55,0.6,0.22284,0.00645,0.01261,0.17831,0.00568,0.01037,0.92374,0.90429,0.97709,1.08026,1.0869
0.03,0.04,0.2,0.3,0.6,0.65,0.18024,0.00575,0.01058,0.13635,0.00491,0.00841,0.89412,0.8682,0.97709,1.08475,1.09136
0.03,0.04,0.2,0.3,0.65,0.7,0.14592,0.00516,0.00928,0.10138,0.00415,0.00691,0.85347,0.82405,0.97709,1.08894,1.09552
0.03,0.04,0.2,0.3,0.7,0.75,0.10114,0.00405,0.00783,0.07856,0.00358,0.0066,0.77897,0.75017,0.97709,1.09342,1.09999
0.03,0.04,0.2,0.3,0.75,0.85,0.07504,0.00249,0.00724,0.04916,0.00192,0.0061,0.70723,0.63124,0.97692,1.1005,1.10703
0.03,0.04,0.3,0.5,0.2,0.25,2.20011,0.03705,0.11734,1.91912,0.03437,0.10287,0.99456,0.9937,0.98813,1.07405,1.07914
0.03,0.04,0.3,0.5,0.25,0.3,1.50425,0.02126,0.08002,1.29369,0.01951,0.06922,0.99126,0.99013,0.98636,1.07112,1.07672
0.03,0.04,0.3,0.5,0.3,0.35,1.03913,0.01711,0.05552,0.87259,0.01561,0.04685,0.98833,0.9864,0.98616,1.0743,1.07991
0.03,0.04,0.3,0.5,0.35,0.4,0.74154,0.01445,0.03983,0.60078,0.01286,0.03247,0.9852,0.98168,0.98616,1.07838,1.08398
0.03,0.04,0.3,0.5,0.4,0.45,0.54792,0.0124,0.0297,0.42194,0.01068,0.02297,0.97859,0.97477,0.98616,1.0831,1.08864
0.03,0.04,0.3,0.5,0.45,0.5,0.39855,0.01063,0.0218,0.31196,0.00937,0.01715,0.9718,0.96675,0.98612,1.08726,1.0928
0.03,0.04,0.3,0.5,0.5,0.55,0.29864,0.00966,0.01662,0.21833,0.00811,0.01217,0.96139,0.95016,0.98576,1.09084,1.0965
0.03,0.04,0.3,0.5,0.55,0.6,0.21242,0.00877,0.01211,0.15942,0.00753,0.00903,0.94043,0.93289,0.98528,1.09391,1.09965
0.03,0.04,0.3,0.5,0.6,0.65,0.18907,0.00935,0.01111,0.12482,0.00753,0.00741,0.9223,0.90703,0.9847,1.09572,1.10156
0.03,0.04,0.3,0.5,0.65,0.7,0.14723,0.00953,0.00923,0.09502,0.0072,0.00608,0.87738,0.8554,0.98415,1.09842,1.10431
0.03,0.04,0.3,0.5,0.7,0.75,0.10777,0.00979,0.00704,0.07671,0.00808,0.00523,0.84544,0.83236,0.98376,1.09672,1.10265
0.03,0.04,0.5,0.7,0.2,0.25,2.24196,0.04882,0.12358,1.99341,0.04581,0.11055,0.99595,0.99557,0.99127,1.10114,1.10422
0.03,0.04,0.5,0.7,0.25,0.3,1.51886,0.04032,0.0841,1.28878,0.03702,0.0716,0.99461,0.99393,0.99127,1.10523,1.10831
0.03,0.04,0.5,0.7,0.3,0.35,0.99253,0.03242,0.05537,0.84988,0.02968,0.04754,0.99289,0.99159,0.99126,1.10926,1.11232
0.03,0.04,0.5,0.7,0.35,0.4,0.76611,0.03179,0.04305,0.55189,0.02642,0.03101,0.98974,0.98876,0.99095,1.11131,1.11465
0.03,0.04,0.5,0.7,0.4,0.45,0.51123,0.03456,0.02915,0.4206,0.031,0.0245,0.98628,0.98067,0.99051,1.11897,1.12266
0.04,0.06,0.1,0.15,0.6,0.65,0.19984,0.0072,0.0116,0.13967,0.00585,0.00866,0.89538,0.86174,0.96977,1.07058,1.07684
0.04,0.06,0.1,0.15,0.65,0.7,0.15362,0.00501,0.00962,0.11817,0.00435,0.0084,0.85817,0.80484,0.96818,1.07778,1.08376
0.04,0.06,0.1,0.15,0.7,0.75,0.12024,0.00371,0.00877,0.08268,0.00295,0.00736,0.79605,0.72973,0.96661,1.08322,1.08889
0.04,0.06,0.1,0.15,0.75,0.85,0.09059,0.00197,0.00915,0.0607,0.00156,0.00807,0.69114,0.6113,0.96506,1.09174,1.09698
0.04,0.06,0.15,0.2,0.45,0.5,0.41628,0.01187,0.02224,0.32568,0.01041,0.01756,0.96046,0.95185,0.97854,1.05959,1.06658
0.04,0.06,0.15,0.2,0.5,0.55,0.31819,0.00803,0.01722,0.25404,0.00721,0.01397,0.9483,0.93293,0.97702,1.06485,1.07157
0.04,0.06,0.15,0.2,0.55,0.6,0.24442,0.00669,0.01352,0.17788,0.00559,0.01021,0.92972,0.90406,0.9768,1.06915,1.07556
