#: table_doi: 10.17182/hepdata.76800.v1/t3,,,,,,,,,,,,,,
#: name: Table 3,,,,,,,,,,,,,,
#: description: Multiplicities of unidentified positively charged hadrons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{h^{+}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the hadron count, $DVM^{h^{+}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the hadron count, $\eta^{h^{+}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{h^{+}}$, as follows:,
,,,,,,,,,,,,,,
$M^{h^{+}}$ =  $M_{raw}^{h^{+}}$ * $\frac{\eta^{h^{+}}} {\eta^{DIS}}$ * $\frac{ DVM^{h^{+}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data3.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu'^{+}$ $h^{+}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu'^{+}$ $h^{+}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{h^{+}}$,$z^{h^{+}}$ LOW,$z^{h^{+}}$ HIGH,$M^{h^{+}}$,stat +,stat -,sys +,sys -
0.0271,0.02,0.03,0.14,0.1,0.15,1.106,0.674,0.65,0.7,0.2318,0.0076,-0.0076,0.0133,-0.0133
0.0271,0.02,0.03,0.14,0.1,0.15,1.104,0.724,0.7,0.75,0.187,0.0067,-0.0067,0.0112,-0.0112
0.0271,0.02,0.03,0.14,0.1,0.15,1.104,0.794,0.75,0.85,0.1224,0.004,-0.004,0.0097,-0.0097
0.0244,0.02,0.03,0.19,0.15,0.2,1.428,0.424,0.4,0.45,0.7688,0.0192,-0.0192,0.0385,-0.0385
0.0244,0.02,0.03,0.18,0.15,0.2,1.335,0.474,0.45,0.5,0.5772,0.0093,-0.0093,0.0291,-0.0291
0.0246,0.02,0.03,0.18,0.15,0.2,1.286,0.524,0.5,0.55,0.4442,0.0066,-0.0066,0.0229,-0.0229
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.574,0.55,0.6,0.3507,0.0058,-0.0058,0.0186,-0.0186
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.624,0.6,0.65,0.276,0.0052,-0.0052,0.0149,-0.0149
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.674,0.65,0.7,0.2198,0.0047,-0.0047,0.0121,-0.0121
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.724,0.7,0.75,0.1717,0.0041,-0.0041,0.0103,-0.0103
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.794,0.75,0.85,0.1151,0.0024,-0.0024,0.0091,-0.0091
0.0244,0.02,0.03,0.27,0.2,0.3,2.001,0.324,0.3,0.35,1.2976,0.0156,-0.0156,0.065,-0.065
0.0244,0.02,0.03,0.25,0.2,0.3,1.842,0.374,0.35,0.4,0.9873,0.0099,-0.0099,0.0494,-0.0494
0.0244,0.02,0.03,0.24,0.2,0.3,1.765,0.424,0.4,0.45,0.7395,0.0076,-0.0076,0.037,-0.037
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.474,0.45,0.5,0.5586,0.0066,-0.0066,0.028,-0.028
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.524,0.5,0.55,0.4342,0.0059,-0.0059,0.022,-0.022
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.574,0.55,0.6,0.3254,0.0051,-0.0051,0.0168,-0.0168
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.624,0.6,0.65,0.2525,0.0045,-0.0045,0.0131,-0.0131
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.674,0.65,0.7,0.2019,0.004,-0.004,0.0107,-0.0107
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.724,0.7,0.75,0.1594,0.0036,-0.0036,0.0093,-0.0093
0.0244,0.02,0.03,0.24,0.2,0.3,1.743,0.794,0.75,0.85,0.1118,0.0022,-0.0022,0.0081,-0.0081
0.0244,0.02,0.03,0.43,0.3,0.5,3.147,0.223,0.2,0.25,2.4487,0.0168,-0.0168,0.1226,-0.1226
0.0244,0.02,0.03,0.38,0.3,0.5,2.798,0.274,0.25,0.3,1.7554,0.0108,-0.0108,0.0879,-0.0879
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.324,0.3,0.35,1.2601,0.0091,-0.0091,0.063,-0.063
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.374,0.35,0.4,0.9342,0.008,-0.008,0.0467,-0.0467
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.424,0.4,0.45,0.6959,0.007,-0.007,0.0348,-0.0348
0.0244,0.02,0.03,0.38,0.3,0.5,2.748,0.474,0.45,0.5,0.5152,0.0061,-0.0061,0.0258,-0.0258
0.0244,0.02,0.03,0.37,0.3,0.5,2.655,0.524,0.5,0.55,0.3893,0.0057,-0.0057,0.0195,-0.0195
0.0244,0.02,0.03,0.35,0.3,0.5,2.553,0.574,0.55,0.6,0.3089,0.0056,-0.0056,0.0157,-0.0157
0.0244,0.02,0.03,0.34,0.3,0.5,2.458,0.624,0.6,0.65,0.2343,0.0055,-0.0055,0.012,-0.012
0.0244,0.02,0.03,0.33,0.3,0.5,2.37,0.674,0.65,0.7,0.1745,0.0056,-0.0056,0.0091,-0.0091
0.0244,0.02,0.03,0.32,0.3,0.5,2.287,0.724,0.7,0.75,0.1538,0.0067,-0.0067,0.0084,-0.0084
0.0244,0.02,0.03,0.31,0.3,0.5,2.102,0.794,0.75,0.85,0.0979,0.0133,-0.0133,0.0062,-0.0062
0.0244,0.02,0.03,0.59,0.5,0.7,4.255,0.223,0.2,0.25,2.3969,0.0184,-0.0184,0.1199,-0.1199
0.0244,0.02,0.03,0.59,0.5,0.7,4.255,0.274,0.25,0.3,1.6965,0.0161,-0.0161,0.0849,-0.0849
0.0244,0.02,0.03,0.58,0.5,0.7,4.243,0.324,0.3,0.35,1.2161,0.014,-0.014,0.0608,-0.0608
0.0244,0.02,0.03,0.56,0.5,0.7,4.043,0.374,0.35,0.4,0.9092,0.0139,-0.0139,0.0455,-0.0455
0.0244,0.02,0.03,0.53,0.5,0.7,3.812,0.424,0.4,0.45,0.6842,0.0168,-0.0168,0.0342,-0.0342
0.0345,0.03,0.04,0.14,0.1,0.15,1.49,0.574,0.55,0.6,0.3339,0.0121,-0.0121,0.0169,-0.0169
0.0345,0.03,0.04,0.14,0.1,0.15,1.42,0.624,0.6,0.65,0.2841,0.008,-0.008,0.0149,-0.0149
0.0345,0.03,0.04,0.13,0.1,0.15,1.361,0.674,0.65,0.7,0.2315,0.0059,-0.0059,0.0123,-0.0123
0.0346,0.03,0.04,0.13,0.1,0.15,1.312,0.724,0.7,0.75,0.1744,0.0045,-0.0045,0.0102,-0.0102
0.0347,0.03,0.04,0.12,0.1,0.15,1.286,0.794,0.75,0.85,0.1263,0.0026,-0.0026,0.0092,-0.0092
0.0345,0.03,0.04,0.19,0.15,0.2,2.024,0.424,0.4,0.45,0.7834,0.026,-0.026,0.0392,-0.0392
0.0345,0.03,0.04,0.18,0.15,0.2,1.892,0.474,0.45,0.5,0.5878,0.0128,-0.0128,0.0295,-0.0295
0.0345,0.03,0.04,0.17,0.15,0.2,1.799,0.524,0.5,0.55,0.4571,0.0088,-0.0088,0.023,-0.023
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.574,0.55,0.6,0.3446,0.0073,-0.0073,0.0176,-0.0176
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.624,0.6,0.65,0.2766,0.0065,-0.0065,0.0142,-0.0142
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.674,0.65,0.7,0.2095,0.0056,-0.0056,0.011,-0.011
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.724,0.7,0.75,0.1611,0.0049,-0.0049,0.0089,-0.0089
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.794,0.75,0.85,0.1169,0.003,-0.003,0.0076,-0.0076
0.0345,0.03,0.04,0.27,0.2,0.3,2.838,0.324,0.3,0.35,1.3167,0.0186,-0.0186,0.0659,-0.0659
0.0345,0.03,0.04,0.25,0.2,0.3,2.612,0.374,0.35,0.4,0.9978,0.012,-0.012,0.0499,-0.0499
0.0345,0.03,0.04,0.24,0.2,0.3,2.503,0.424,0.4,0.45,0.7477,0.0094,-0.0094,0.0374,-0.0374
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.474,0.45,0.5,0.5656,0.0082,-0.0082,0.0283,-0.0283
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.524,0.5,0.55,0.4187,0.007,-0.007,0.021,-0.021
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.574,0.55,0.6,0.3198,0.0061,-0.0061,0.0162,-0.0162
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.624,0.6,0.65,0.2507,0.0054,-0.0054,0.0128,-0.0128
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.674,0.65,0.7,0.1926,0.0048,-0.0048,0.0099,-0.0099
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.724,0.7,0.75,0.1482,0.0042,-0.0042,0.008,-0.008
0.0345,0.03,0.04,0.24,0.2,0.3,2.472,0.794,0.75,0.85,0.1073,0.0026,-0.0026,0.0069,-0.0069
0.0345,0.03,0.04,0.43,0.3,0.5,4.462,0.223,0.2,0.25,2.5242,0.0222,-0.0222,0.1263,-0.1263
0.0345,0.03,0.04,0.38,0.3,0.5,3.967,0.274,0.25,0.3,1.7846,0.0138,-0.0138,0.0893,-0.0893
0.0345,0.03,0.04,0.38,0.3,0.5,3.918,0.324,0.3,0.35,1.2843,0.0116,-0.0116,0.0642,-0.0642
