#: table_doi: 10.17182/hepdata.76800.v1/t4,,,,,,,,,,,,,,
#: name: Table 4,,,,,,,,,,,,,,
#: description: Multiplicities of unidentified negatively charged hadrons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{h^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the hadron count, $DVM^{h^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the hadron count, $\eta^{h^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{h^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{h^{-}}$ =  $M_{raw}^{h^{-}}$ * $\frac{\eta^{h^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{h^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data4.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu'^{+}$ $h^{-}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu'^{+}$ $h^{-}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{h^{-}}$,$z^{h^{-}}$ LOW,$z^{h^{-}}$ HIGH,$M^{h^{-}}$,stat +,stat -,sys +,sys -
0.0139,0.01,0.02,0.58,0.5,0.7,2.426,0.324,0.3,0.35,1.0738,0.0081,-0.0081,0.0537,-0.0537
0.0139,0.01,0.02,0.56,0.5,0.7,2.311,0.374,0.35,0.4,0.7613,0.0081,-0.0081,0.0381,-0.0381
0.0139,0.01,0.02,0.53,0.5,0.7,2.179,0.424,0.4,0.45,0.5514,0.0097,-0.0097,0.0276,-0.0276
0.0263,0.02,0.03,0.14,0.1,0.15,1.138,0.574,0.55,0.6,0.2354,0.0102,-0.0102,0.0148,-0.0148
0.0268,0.02,0.03,0.14,0.1,0.15,1.117,0.624,0.6,0.65,0.2056,0.0077,-0.0077,0.012,-0.012
0.0271,0.02,0.03,0.14,0.1,0.15,1.106,0.674,0.65,0.7,0.1523,0.0063,-0.0063,0.0104,-0.0104
0.0271,0.02,0.03,0.14,0.1,0.15,1.104,0.724,0.7,0.75,0.1278,0.0059,-0.0059,0.0102,-0.0102
0.0271,0.02,0.03,0.14,0.1,0.15,1.104,0.795,0.75,0.85,0.0908,0.0037,-0.0037,0.009,-0.009
0.0244,0.02,0.03,0.19,0.15,0.2,1.427,0.424,0.4,0.45,0.6069,0.0173,-0.0173,0.0305,-0.0305
0.0244,0.02,0.03,0.18,0.15,0.2,1.334,0.474,0.45,0.5,0.4394,0.0082,-0.0082,0.0225,-0.0225
0.0246,0.02,0.03,0.18,0.15,0.2,1.285,0.524,0.5,0.55,0.3463,0.006,-0.006,0.0183,-0.0183
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.574,0.55,0.6,0.2592,0.005,-0.005,0.0147,-0.0147
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.624,0.6,0.65,0.2061,0.0046,-0.0046,0.0124,-0.0124
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.674,0.65,0.7,0.1571,0.004,-0.004,0.0098,-0.0098
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.724,0.7,0.75,0.1246,0.0036,-0.0036,0.0088,-0.0088
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.795,0.75,0.85,0.0833,0.0022,-0.0022,0.0084,-0.0084
0.0244,0.02,0.03,0.27,0.2,0.3,2,0.324,0.3,0.35,1.1005,0.0143,-0.0143,0.0551,-0.0551
0.0244,0.02,0.03,0.25,0.2,0.3,1.841,0.374,0.35,0.4,0.8277,0.0091,-0.0091,0.0414,-0.0414
0.0244,0.02,0.03,0.24,0.2,0.3,1.765,0.424,0.4,0.45,0.5865,0.0068,-0.0068,0.0294,-0.0294
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.474,0.45,0.5,0.4327,0.0058,-0.0058,0.0218,-0.0218
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.524,0.5,0.55,0.3209,0.005,-0.005,0.0164,-0.0164
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.574,0.55,0.6,0.2495,0.0044,-0.0044,0.0133,-0.0133
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.624,0.6,0.65,0.1866,0.0038,-0.0038,0.0102,-0.0102
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.674,0.65,0.7,0.1489,0.0035,-0.0035,0.0083,-0.0083
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.724,0.7,0.75,0.114,0.003,-0.003,0.007,-0.007
0.0244,0.02,0.03,0.24,0.2,0.3,1.743,0.794,0.75,0.85,0.0808,0.0019,-0.0019,0.007,-0.007
0.0244,0.02,0.03,0.43,0.3,0.5,3.146,0.223,0.2,0.25,2.2268,0.0161,-0.0161,0.1114,-0.1114
0.0244,0.02,0.03,0.38,0.3,0.5,2.797,0.274,0.25,0.3,1.5518,0.0102,-0.0102,0.0776,-0.0776
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.324,0.3,0.35,1.0877,0.0085,-0.0085,0.0544,-0.0544
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.374,0.35,0.4,0.7863,0.0073,-0.0073,0.0393,-0.0393
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.424,0.4,0.45,0.5742,0.0063,-0.0063,0.0287,-0.0287
0.0244,0.02,0.03,0.38,0.3,0.5,2.748,0.474,0.45,0.5,0.4174,0.0054,-0.0054,0.0209,-0.0209
0.0244,0.02,0.03,0.37,0.3,0.5,2.655,0.524,0.5,0.55,0.3064,0.005,-0.005,0.0154,-0.0154
0.0244,0.02,0.03,0.35,0.3,0.5,2.552,0.574,0.55,0.6,0.2386,0.0049,-0.0049,0.0123,-0.0123
0.0244,0.02,0.03,0.34,0.3,0.5,2.458,0.624,0.6,0.65,0.1803,0.0048,-0.0048,0.0093,-0.0093
0.0244,0.02,0.03,0.33,0.3,0.5,2.37,0.674,0.65,0.7,0.1353,0.0049,-0.0049,0.0074,-0.0074
0.0244,0.02,0.03,0.32,0.3,0.5,2.287,0.724,0.7,0.75,0.1055,0.0055,-0.0055,0.0063,-0.0063
0.0244,0.02,0.03,0.31,0.3,0.5,2.102,0.794,0.75,0.85,0.0751,0.0112,-0.0112,0.0051,-0.0051
0.0244,0.02,0.03,0.59,0.5,0.7,4.255,0.223,0.2,0.25,2.1482,0.0174,-0.0174,0.1075,-0.1075
0.0244,0.02,0.03,0.59,0.5,0.7,4.255,0.274,0.25,0.3,1.4978,0.015,-0.015,0.0749,-0.0749
0.0244,0.02,0.03,0.58,0.5,0.7,4.243,0.324,0.3,0.35,1.0487,0.0129,-0.0129,0.0524,-0.0524
0.0244,0.02,0.03,0.56,0.5,0.7,4.043,0.374,0.35,0.4,0.7421,0.0125,-0.0125,0.0371,-0.0371
0.0244,0.02,0.03,0.53,0.5,0.7,3.812,0.424,0.4,0.45,0.5364,0.0144,-0.0144,0.0268,-0.0268
0.0345,0.03,0.04,0.14,0.1,0.15,1.49,0.574,0.55,0.6,0.2648,0.0114,-0.0114,0.0148,-0.0148
0.0345,0.03,0.04,0.14,0.1,0.15,1.42,0.624,0.6,0.65,0.1933,0.0067,-0.0067,0.0112,-0.0112
0.0345,0.03,0.04,0.13,0.1,0.15,1.361,0.674,0.65,0.7,0.1507,0.0049,-0.0049,0.0092,-0.0092
0.0346,0.03,0.04,0.13,0.1,0.15,1.312,0.724,0.7,0.75,0.1221,0.004,-0.004,0.0092,-0.0092
0.0347,0.03,0.04,0.12,0.1,0.15,1.286,0.795,0.75,0.85,0.083,0.0023,-0.0023,0.0082,-0.0082
0.0345,0.03,0.04,0.19,0.15,0.2,2.023,0.424,0.4,0.45,0.5757,0.0224,-0.0224,0.0289,-0.0289
0.0345,0.03,0.04,0.18,0.15,0.2,1.892,0.474,0.45,0.5,0.4364,0.0111,-0.0111,0.0221,-0.0221
0.0345,0.03,0.04,0.17,0.15,0.2,1.799,0.524,0.5,0.55,0.3256,0.0074,-0.0074,0.0167,-0.0167
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.574,0.55,0.6,0.2421,0.0062,-0.0062,0.013,-0.013
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.624,0.6,0.65,0.1868,0.0054,-0.0054,0.0102,-0.0102
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.674,0.65,0.7,0.1375,0.0045,-0.0045,0.0079,-0.0079
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.724,0.7,0.75,0.1177,0.0043,-0.0043,0.0072,-0.0072
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.794,0.75,0.85,0.0757,0.0025,-0.0025,0.0066,-0.0066
0.0345,0.03,0.04,0.27,0.2,0.3,2.836,0.324,0.3,0.35,1.0929,0.017,-0.017,0.0547,-0.0547
0.0345,0.03,0.04,0.25,0.2,0.3,2.611,0.374,0.35,0.4,0.7911,0.0107,-0.0107,0.0396,-0.0396
0.0345,0.03,0.04,0.24,0.2,0.3,2.503,0.424,0.4,0.45,0.5838,0.0083,-0.0083,0.0292,-0.0292
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.474,0.45,0.5,0.4222,0.0071,-0.0071,0.0212,-0.0212
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.524,0.5,0.55,0.3042,0.0059,-0.0059,0.0153,-0.0153
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.574,0.55,0.6,0.2316,0.0051,-0.0051,0.0118,-0.0118
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.624,0.6,0.65,0.1788,0.0046,-0.0046,0.0093,-0.0093
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.674,0.65,0.7,0.1324,0.0039,-0.0039,0.007,-0.007
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.724,0.7,0.75,0.1021,0.0034,-0.0034,0.0059,-0.0059
0.0345,0.03,0.04,0.24,0.2,0.3,2.471,0.794,0.75,0.85,0.0689,0.002,-0.002,0.0049,-0.0049
0.0345,0.03,0.04,0.43,0.3,0.5,4.46,0.223,0.2,0.25,2.2511,0.0209,-0.0209,0.1126,-0.1126
0.0345,0.03,0.04,0.38,0.3,0.5,3.966,0.274,0.25,0.3,1.5094,0.0127,-0.0127,0.0755,-0.0755
0.0345,0.03,0.04,0.38,0.3,0.5,3.918,0.324,0.3,0.35,1.0778,0.0106,-0.0106,0.0539,-0.0539
0.0345,0.03,0.04,0.38,0.3,0.5,3.918,0.374,0.35,0.4,0.7917,0.0093,-0.0093,0.0396,-0.0396
0.0345,0.03,0.04,0.38,0.3,0.5,3.918,0.424,0.4,0.45,0.5492,0.0077,-0.0077,0.0275,-0.0275
0.0345,0.03,0.04,0.38,0.3,0.5,3.896,0.474,0.45,0.5,0.4003,0.0066,-0.0066,0.02,-0.02
0.0345,0.03,0.04,0.37,0.3,0.5,3.764,0.524,0.5,0.55,0.3037,0.0062,-0.0062,0.0152,-0.0152
0.0345,0.03,0.04,0.35,0.3,0.5,3.619,0.574,0.55,0.6,0.2207,0.0058,-0.0058,0.0112,-0.0112
0.0345,0.03,0.04,0.34,0.3,0.5,3.485,0.624,0.6,0.65,0.1703,0.0057,-0.0057,0.0087,-0.0087
0.0345,0.03,0.04,0.33,0.3,0.5,3.361,0.674,0.65,0.7,0.1237,0.0057,-0.0057,0.0064,-0.0064
0.0345,0.03,0.04,0.32,0.3,0.5,3.244,0.723,0.7,0.75,0.0966,0.0062,-0.0062,0.0052,-0.0052
0.0345,0.03,0.04,0.31,0.3,0.5,2.981,0.794,0.75,0.85,0.0386,0.0094,-0.0094,0.0028,-0.0028
0.0345,0.03,0.04,0.59,0.5,0.7,6.033,0.223,0.2,0.25,2.1648,0.0248,-0.0248,0.1083,-0.1083
0.0345,0.03,0.04,0.59,0.5,0.7,6.033,0.274,0.25,0.3,1.5148,0.0214,-0.0214,0.0758,-0.0758
0.0345,0.03,0.04,0.59,0.5,0.7,6.015,0.324,0.3,0.35,1.0857,0.0187,-0.0187,0.0543,-0.0543
0.0345,0.03,0.04,0.56,0.5,0.7,5.731,0.374,0.35,0.4,0.7335,0.0171,-0.0171,0.0367,-0.0367
0.0345,0.03,0.04,0.53,0.5,0.7,5.402,0.424,0.4,0.45,0.5715,0.0206,-0.0206,0.0286,-0.0286
0.0487,0.04,0.06,0.14,0.1,0.15,2.099,0.574,0.55,0.6,0.2434,0.0101,-0.0101,0.0127,-0.0127
0.0487,0.04,0.06,0.14,0.1,0.15,1.999,0.624,0.6,0.65,0.1808,0.0061,-0.0061,0.0097,-0.0097
0.0487,0.04,0.06,0.13,0.1,0.15,1.916,0.674,0.65,0.7,0.1431,0.0045,-0.0045,0.0084,-0.0084
0.0487,0.04,0.06,0.13,0.1,0.15,1.843,0.724,0.7,0.75,0.1155,0.0035,-0.0035,0.0073,-0.0073
0.0487,0.04,0.06,0.12,0.1,0.15,1.788,0.795,0.75,0.85,0.0743,0.0018,-0.0018,0.0067,-0.0067
0.0487,0.04,0.06,0.19,0.15,0.2,2.852,0.424,0.4,0.45,0.5599,0.0187,-0.0187,0.028,-0.028
0.0487,0.04,0.06,0.18,0.15,0.2,2.666,0.474,0.45,0.5,0.4082,0.0091,-0.0091,0.0205,-0.0205
0.0487,0.04,0.06,0.17,0.15,0.2,2.535,0.524,0.5,0.55,0.3206,0.0065,-0.0065,0.0161,-0.0161
0.0487,0.04,0.06,0.17,0.15,0.2,2.505,0.574,0.55,0.6,0.2384,0.0054,-0.0054,0.0122,-0.0122
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.624,0.6,0.65,0.1805,0.0047,-0.0047,0.0094,-0.0094
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.674,0.65,0.7,0.1311,0.0039,-0.0039,0.0069,-0.0069
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.724,0.7,0.75,0.1053,0.0035,-0.0035,0.0061,-0.0061
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.795,0.75,0.85,0.0711,0.002,-0.002,0.005,-0.005
0.0487,0.04,0.06,0.27,0.2,0.3,3.996,0.324,0.3,0.35,1.0697,0.0147,-0.0147,0.0535,-0.0535
0.0487,0.04,0.06,0.25,0.2,0.3,3.678,0.374,0.35,0.4,0.7741,0.0091,-0.0091,0.0387,-0.0387
0.0487,0.04,0.06,0.24,0.2,0.3,3.525,0.424,0.4,0.45,0.5531,0.0069,-0.0069,0.0277,-0.0277
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.474,0.45,0.5,0.4047,0.0059,-0.0059,0.0202,-0.0202
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.524,0.5,0.55,0.2978,0.005,-0.005,0.0149,-0.0149
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.574,0.55,0.6,0.2237,0.0044,-0.0044,0.0113,-0.0113
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.624,0.6,0.65,0.1696,0.0038,-0.0038,0.0086,-0.0086
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.674,0.65,0.7,0.129,0.0033,-0.0033,0.0066,-0.0066
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.724,0.7,0.75,0.0928,0.0028,-0.0028,0.005,-0.005
0.0487,0.04,0.06,0.24,0.2,0.3,3.481,0.794,0.75,0.85,0.0624,0.0016,-0.0016,0.0042,-0.0042
0.0486,0.04,0.06,0.43,0.3,0.5,6.281,0.223,0.2,0.25,2.2055,0.0192,-0.0192,0.1103,-0.1103
0.0486,0.04,0.06,0.38,0.3,0.5,5.585,0.274,0.25,0.3,1.5182,0.0116,-0.0116,0.0759,-0.0759
