x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.02,0.03,0.2,0.3,0.45,0.5,0.63814,0.00828,0.02974,0.47141,0.00707,0.02248,0.94833,0.93838,0.96587,1.07424,1.08242
0.02,0.03,0.2,0.3,0.5,0.55,0.48936,0.00719,0.02348,0.33323,0.0058,0.01652,0.92942,0.91701,0.96587,1.07853,1.0869
0.02,0.03,0.2,0.3,0.55,0.6,0.37686,0.0063,0.01878,0.26031,0.00513,0.01383,0.90902,0.88235,0.96587,1.08279,1.09135
0.02,0.03,0.2,0.3,0.6,0.65,0.28194,0.00535,0.01479,0.19412,0.00436,0.01103,0.88664,0.85739,0.96587,1.0871,1.09583
0.02,0.03,0.2,0.3,0.65,0.7,0.21868,0.00466,0.01232,0.13949,0.00359,0.00887,0.85762,0.81747,0.96587,1.09142,1.10035
0.02,0.03,0.2,0.3,0.7,0.75,0.16503,0.00396,0.01092,0.1037,0.00303,0.00811,0.80374,0.75417,0.96587,1.09575,1.10486
0.02,0.03,0.2,0.3,0.75,0.85,0.10581,0.00217,0.01047,0.06706,0.00163,0.00865,0.68616,0.61387,0.96556,1.10238,1.1118
0.02,0.03,0.3,0.5,0.2,0.25,2.87411,0.03098,0.13008,2.42359,0.0281,0.1106,0.99405,0.99331,0.98219,1.07637,1.08158
0.02,0.03,0.3,0.5,0.25,0.3,2.02781,0.01811,0.09125,1.65468,0.01615,0.07517,0.99122,0.9894,0.97945,1.07177,1.07777
0.02,0.03,0.3,0.5,0.3,0.35,1.46597,0.01492,0.0663,1.18746,0.01335,0.05422,0.98758,0.98662,0.97921,1.0745,1.08074
0.02,0.03,0.3,0.5,0.35,0.4,1.07636,0.01283,0.04911,0.82909,0.01112,0.03821,0.9827,0.98012,0.97921,1.07883,1.08524
0.02,0.03,0.3,0.5,0.4,0.45,0.8096,0.01113,0.03727,0.59468,0.00937,0.02772,0.9749,0.97106,0.97921,1.08319,1.08978
0.02,0.03,0.3,0.5,0.45,0.5,0.59012,0.00951,0.0275,0.42788,0.00793,0.02029,0.96508,0.95937,0.97915,1.08708,1.09388
0.02,0.03,0.3,0.5,0.5,0.55,0.44723,0.00873,0.02121,0.31715,0.00723,0.01538,0.95062,0.94234,0.97856,1.09098,1.09811
0.02,0.03,0.3,0.5,0.55,0.6,0.35149,0.00846,0.01715,0.24175,0.00685,0.0121,0.92937,0.91999,0.97778,1.09318,1.10063
0.02,0.03,0.3,0.5,0.6,0.65,0.28123,0.00849,0.01419,0.18505,0.00666,0.00972,0.91083,0.89527,0.977,1.09657,1.10437
0.02,0.03,0.3,0.5,0.65,0.7,0.19924,0.00796,0.01081,0.14498,0.00676,0.00828,0.87572,0.85858,0.97615,1.09887,1.10699
0.02,0.03,0.3,0.5,0.7,0.75,0.14754,0.00833,0.00996,0.09239,0.0064,0.00641,0.80918,0.79179,0.97536,1.10342,1.11185
0.02,0.03,0.5,0.7,0.2,0.25,2.79498,0.03668,0.13464,2.48637,0.0345,0.12045,0.99567,0.99515,0.98679,1.11325,1.11604
0.02,0.03,0.5,0.7,0.25,0.3,1.94902,0.03091,0.09469,1.59874,0.0276,0.07811,0.99423,0.99375,0.98679,1.11741,1.12039
0.02,0.03,0.5,0.7,0.3,0.35,1.44337,0.02685,0.07059,1.15681,0.02382,0.05693,0.99273,0.99131,0.98679,1.1209,1.12411
0.02,0.03,0.5,0.7,0.35,0.4,1.05313,0.02596,0.05164,0.8082,0.02229,0.03991,0.98906,0.98726,0.9864,1.12123,1.12499
0.02,0.03,0.5,0.7,0.4,0.45,0.77318,0.02959,0.03796,0.56422,0.02459,0.02788,0.98316,0.9787,0.9858,1.11891,1.12331
0.03,0.04,0.1,0.15,0.55,0.6,0.39869,0.01505,0.02009,0.24475,0.0117,0.01342,0.89925,0.86629,0.95777,1.07281,1.08175
0.03,0.04,0.1,0.15,0.6,0.65,0.32108,0.00931,0.01664,0.19561,0.00707,0.01175,0.88714,0.83281,0.9562,1.07498,1.08385
0.03,0.04,0.1,0.15,0.65,0.7,0.25051,0.00661,0.01418,0.14548,0.00482,0.01022,0.85308,0.78385,0.95378,1.07869,1.08749
0.03,0.04,0.1,0.15,0.7,0.75,0.19464,0.00495,0.01272,0.12032,0.00375,0.01065,0.80609,0.71818,0.95163,1.085,1.09376
0.03,0.04,0.1,0.15,0.75,0.85,0.13314,0.00256,0.01234,0.07578,0.0018,0.01065,0.70436,0.58949,0.95024,1.09209,1.10072
0.03,0.04,0.15,0.2,0.45,0.5,0.66771,0.01545,0.03072,0.43607,0.01238,0.02065,0.95376,0.94303,0.96858,1.06973,1.07862
0.03,0.04,0.15,0.2,0.5,0.55,0.49048,0.01022,0.02312,0.31933,0.00821,0.01554,0.93686,0.9225,0.96673,1.07305,1.0819
