x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.04,0.06,0.5,0.7,0.4,0.45,0.1432,0.01971,0.0092,0.11665,0.01807,0.00796,0.99296,0.99037,0.99332,1.10145,1.1106
0.06,0.1,0.1,0.15,0.6,0.65,0.05206,0.00444,0.00278,0.01871,0.00262,0.00105,0.96687,0.94743,0.98156,1.06687,1.08104
0.06,0.1,0.1,0.15,0.65,0.7,0.05108,0.00369,0.00275,0.01287,0.00178,0.00071,0.99071,0.98261,0.98059,1.07369,1.08752
0.06,0.1,0.1,0.15,0.7,0.75,0.03543,0.00265,0.00192,0.01018,0.00141,0.00057,0.99696,0.99248,0.97949,1.08001,1.0935
0.06,0.1,0.1,0.15,0.75,0.85,0.03198,0.0017,0.00178,0.00595,0.00069,0.00035,0.99887,0.99742,0.97852,1.08753,1.10047
0.06,0.1,0.15,0.2,0.45,0.5,0.11227,0.00743,0.00586,0.05237,0.00499,0.00286,0.97963,0.97405,0.9868,1.04911,1.06408
0.06,0.1,0.15,0.2,0.5,0.55,0.08978,0.00514,0.00483,0.04227,0.0035,0.00231,0.97056,0.95635,0.98593,1.05982,1.07456
0.06,0.1,0.15,0.2,0.55,0.6,0.07085,0.00435,0.00383,0.02862,0.00273,0.00159,0.96867,0.94233,0.98583,1.06546,1.07981
0.06,0.1,0.15,0.2,0.6,0.65,0.04746,0.00344,0.00255,0.01985,0.00221,0.00112,0.97793,0.95795,0.98584,1.07137,1.08535
0.06,0.1,0.15,0.2,0.65,0.7,0.05411,0.00382,0.00295,0.01653,0.00212,0.00093,0.99424,0.99001,0.98584,1.07743,1.09103
0.06,0.1,0.15,0.2,0.7,0.75,0.04697,0.00359,0.00259,0.01059,0.00166,0.00059,0.99784,0.9957,0.98584,1.08331,1.09653
0.06,0.1,0.15,0.2,0.75,0.85,0.02803,0.00193,0.00155,0.00516,0.00078,0.00029,0.99954,0.99901,0.98584,1.09196,1.10462
0.06,0.1,0.2,0.3,0.3,0.35,0.25545,0.01347,0.01332,0.18843,0.01206,0.00997,0.99957,0.99937,0.99156,1.04065,1.056
0.06,0.1,0.2,0.3,0.35,0.4,0.20007,0.00826,0.01049,0.09717,0.00573,0.00514,0.99494,0.99234,0.99076,1.03993,1.05505
