#: table_doi: 10.17182/hepdata.76800.v1/t2,,,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,,,
#: description: Multiplicities of negatively charged pions from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{\pi^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the pion count, $DVM^{\pi^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the pion count, $\eta^{\pi^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{\pi^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{\pi^{-}}$ =  $M_{raw}^{\pi^{-}}$ * $\frac{\eta^{\pi^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{\pi^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data2.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu^{+}$ $\pi^{-}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu^{+}$ $\pi^{-}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{\pi^{-}}$,$z^{\pi^{-}}$ LOW,$z^{\pi^{-}}$ HIGH,$M^{\pi^{-}}$,stat +,stat -,sys +,sys -
0.0244,0.02,0.03,0.532,0.5,0.7,3.812,0.424,0.4,0.45,0.3734,0.0128,-0.0128,0.02,-0.02
0.0345,0.03,0.04,0.142,0.1,0.15,1.49,0.574,0.55,0.6,0.2111,0.0103,-0.0103,0.0116,-0.0116
0.0345,0.03,0.04,0.137,0.1,0.15,1.42,0.624,0.6,0.65,0.1573,0.0062,-0.0062,0.0094,-0.0094
0.0345,0.03,0.04,0.131,0.1,0.15,1.361,0.674,0.65,0.7,0.1231,0.0045,-0.0045,0.0082,-0.0082
0.0346,0.03,0.04,0.127,0.1,0.15,1.312,0.724,0.7,0.75,0.1011,0.0038,-0.0038,0.0087,-0.0087
0.0347,0.03,0.04,0.124,0.1,0.15,1.286,0.795,0.75,0.85,0.0685,0.0021,-0.0021,0.0079,-0.0079
0.0345,0.03,0.04,0.192,0.15,0.2,2.023,0.424,0.4,0.45,0.4452,0.0195,-0.0195,0.0223,-0.0223
0.0345,0.03,0.04,0.182,0.15,0.2,1.892,0.474,0.45,0.5,0.3511,0.01,-0.01,0.0178,-0.0178
0.0345,0.03,0.04,0.174,0.15,0.2,1.799,0.524,0.5,0.55,0.2571,0.0066,-0.0066,0.0131,-0.0131
0.0345,0.03,0.04,0.173,0.15,0.2,1.777,0.574,0.55,0.6,0.1878,0.0055,-0.0055,0.0099,-0.0099
0.0345,0.03,0.04,0.173,0.15,0.2,1.777,0.624,0.6,0.65,0.1482,0.0048,-0.0048,0.0082,-0.0082
0.0345,0.03,0.04,0.173,0.15,0.2,1.777,0.674,0.65,0.7,0.1099,0.0041,-0.0041,0.0068,-0.0068
0.0345,0.03,0.04,0.173,0.15,0.2,1.777,0.724,0.7,0.75,0.0978,0.004,-0.004,0.0067,-0.0067
0.0345,0.03,0.04,0.173,0.15,0.2,1.777,0.795,0.75,0.85,0.0623,0.0023,-0.0023,0.0062,-0.0062
0.0345,0.03,0.04,0.273,0.2,0.3,2.836,0.324,0.3,0.35,0.855,0.0149,-0.0149,0.0428,-0.0428
0.0345,0.03,0.04,0.253,0.2,0.3,2.611,0.374,0.35,0.4,0.614,0.0094,-0.0094,0.0307,-0.0307
0.0345,0.03,0.04,0.243,0.2,0.3,2.503,0.424,0.4,0.45,0.4444,0.0072,-0.0072,0.0222,-0.0222
0.0345,0.03,0.04,0.243,0.2,0.3,2.5,0.474,0.45,0.5,0.3181,0.0061,-0.0061,0.0159,-0.0159
0.0345,0.03,0.04,0.243,0.2,0.3,2.5,0.524,0.5,0.55,0.2317,0.0051,-0.0051,0.0117,-0.0117
0.0345,0.03,0.04,0.243,0.2,0.3,2.5,0.574,0.55,0.6,0.1773,0.0045,-0.0045,0.009,-0.009
0.0345,0.03,0.04,0.243,0.2,0.3,2.5,0.624,0.6,0.65,0.137,0.0039,-0.0039,0.0072,-0.0072
0.0345,0.03,0.04,0.243,0.2,0.3,2.5,0.674,0.65,0.7,0.1032,0.0035,-0.0035,0.0058,-0.0058
0.0345,0.03,0.04,0.243,0.2,0.3,2.5,0.724,0.7,0.75,0.0816,0.0031,-0.0031,0.0051,-0.0051
0.0345,0.03,0.04,0.241,0.2,0.3,2.471,0.795,0.75,0.85,0.0534,0.0018,-0.0018,0.0043,-0.0043
0.0345,0.03,0.04,0.431,0.3,0.5,4.46,0.223,0.2,0.25,1.7682,0.0184,-0.0184,0.0884,-0.0884
0.0345,0.03,0.04,0.385,0.3,0.5,3.966,0.274,0.25,0.3,1.1632,0.011,-0.011,0.0582,-0.0582
0.0345,0.03,0.04,0.381,0.3,0.5,3.918,0.324,0.3,0.35,0.8144,0.0092,-0.0092,0.0407,-0.0407
0.0345,0.03,0.04,0.381,0.3,0.5,3.918,0.374,0.35,0.4,0.5822,0.0078,-0.0078,0.0291,-0.0291
0.0345,0.03,0.04,0.381,0.3,0.5,3.918,0.424,0.4,0.45,0.4017,0.0066,-0.0066,0.0201,-0.0201
0.0345,0.03,0.04,0.379,0.3,0.5,3.896,0.474,0.45,0.5,0.2922,0.0057,-0.0057,0.0147,-0.0147
0.0345,0.03,0.04,0.367,0.3,0.5,3.764,0.524,0.5,0.55,0.2202,0.0054,-0.0054,0.0111,-0.0111
0.0345,0.03,0.04,0.353,0.3,0.5,3.619,0.574,0.55,0.6,0.1529,0.005,-0.005,0.0078,-0.0078
0.0345,0.03,0.04,0.34,0.3,0.5,3.485,0.624,0.6,0.65,0.118,0.0049,-0.0049,0.0062,-0.0062
0.0345,0.03,0.04,0.329,0.3,0.5,3.361,0.674,0.65,0.7,0.0843,0.005,-0.005,0.0051,-0.0051
0.0345,0.03,0.04,0.319,0.3,0.5,3.244,0.724,0.7,0.75,0.0682,0.0056,-0.0056,0.0042,-0.0042
0.0345,0.03,0.04,0.307,0.3,0.5,2.981,0.795,0.75,0.85,0.0291,0.0089,-0.0089,0.0031,-0.0031
0.0345,0.03,0.04,0.586,0.5,0.7,6.033,0.223,0.2,0.25,1.6867,0.0217,-0.0217,0.0844,-0.0844
0.0345,0.03,0.04,0.586,0.5,0.7,6.033,0.273,0.25,0.3,1.143,0.0184,-0.0184,0.0572,-0.0572
0.0345,0.03,0.04,0.585,0.5,0.7,6.015,0.324,0.3,0.35,0.8125,0.0162,-0.0162,0.0407,-0.0407
0.0345,0.03,0.04,0.56,0.5,0.7,5.731,0.374,0.35,0.4,0.5273,0.015,-0.015,0.0268,-0.0268
0.0345,0.03,0.04,0.532,0.5,0.7,5.402,0.424,0.4,0.45,0.3997,0.0185,-0.0185,0.0216,-0.0216
0.0487,0.04,0.06,0.142,0.1,0.15,2.099,0.574,0.55,0.6,0.1925,0.0089,-0.0089,0.0099,-0.0099
0.0487,0.04,0.06,0.137,0.1,0.15,1.999,0.624,0.6,0.65,0.1464,0.0055,-0.0055,0.0079,-0.0079
0.0487,0.04,0.06,0.131,0.1,0.15,1.916,0.674,0.65,0.7,0.1172,0.0041,-0.0041,0.0074,-0.0074
0.0487,0.04,0.06,0.127,0.1,0.15,1.843,0.724,0.7,0.75,0.096,0.0032,-0.0032,0.0066,-0.0066
0.0487,0.04,0.06,0.123,0.1,0.15,1.788,0.795,0.75,0.85,0.0615,0.0017,-0.0017,0.0064,-0.0064
0.0487,0.04,0.06,0.192,0.15,0.2,2.852,0.424,0.4,0.45,0.4249,0.0161,-0.0161,0.0213,-0.0213
0.0487,0.04,0.06,0.182,0.15,0.2,2.666,0.474,0.45,0.5,0.3154,0.008,-0.008,0.0158,-0.0158
0.0487,0.04,0.06,0.174,0.15,0.2,2.535,0.524,0.5,0.55,0.2491,0.0057,-0.0057,0.0125,-0.0125
0.0487,0.04,0.06,0.173,0.15,0.2,2.505,0.574,0.55,0.6,0.1881,0.0048,-0.0048,0.0096,-0.0096
0.0487,0.04,0.06,0.173,0.15,0.2,2.504,0.624,0.6,0.65,0.1435,0.0042,-0.0042,0.0075,-0.0075
0.0487,0.04,0.06,0.173,0.15,0.2,2.504,0.674,0.65,0.7,0.1056,0.0034,-0.0034,0.0057,-0.0057
0.0487,0.04,0.06,0.173,0.15,0.2,2.504,0.724,0.7,0.75,0.0867,0.0031,-0.0031,0.0054,-0.0054
0.0487,0.04,0.06,0.173,0.15,0.2,2.504,0.795,0.75,0.85,0.0579,0.0018,-0.0018,0.0046,-0.0046
0.0487,0.04,0.06,0.273,0.2,0.3,3.996,0.324,0.3,0.35,0.8197,0.0127,-0.0127,0.041,-0.041
0.0487,0.04,0.06,0.252,0.2,0.3,3.678,0.374,0.35,0.4,0.6038,0.008,-0.008,0.0302,-0.0302
0.0487,0.04,0.06,0.243,0.2,0.3,3.525,0.424,0.4,0.45,0.4206,0.0059,-0.0059,0.021,-0.021
0.0487,0.04,0.06,0.243,0.2,0.3,3.522,0.474,0.45,0.5,0.3057,0.0051,-0.0051,0.0153,-0.0153
0.0487,0.04,0.06,0.243,0.2,0.3,3.522,0.524,0.5,0.55,0.2223,0.0043,-0.0043,0.0112,-0.0112
0.0487,0.04,0.06,0.243,0.2,0.3,3.522,0.574,0.55,0.6,0.1657,0.0037,-0.0037,0.0084,-0.0084
0.0487,0.04,0.06,0.243,0.2,0.3,3.522,0.624,0.6,0.65,0.1268,0.0032,-0.0032,0.0065,-0.0065
0.0487,0.04,0.06,0.243,0.2,0.3,3.522,0.674,0.65,0.7,0.1019,0.0029,-0.0029,0.0054,-0.0054
0.0487,0.04,0.06,0.243,0.2,0.3,3.522,0.724,0.7,0.75,0.0699,0.0024,-0.0024,0.0041,-0.0041
0.0487,0.04,0.06,0.241,0.2,0.3,3.481,0.795,0.75,0.85,0.0487,0.0014,-0.0014,0.0037,-0.0037
0.0486,0.04,0.06,0.431,0.3,0.5,6.281,0.223,0.2,0.25,1.7397,0.017,-0.017,0.087,-0.087
0.0486,0.04,0.06,0.385,0.3,0.5,5.585,0.274,0.25,0.3,1.1722,0.0101,-0.0101,0.0586,-0.0586
