#: table_doi: 10.17182/hepdata.77892.v1/t2,,,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,,,
#: description: Multiplicities of negatively charged kaons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{K^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the kaon count, $DVM^{K^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the kaon count, $\eta^{K^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{K^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{K^{-}}$ =  $M_{raw}^{K^{-}}$ * $\frac{\eta^{K^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{K^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data2.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$d-->\mu^{+}$K^{-}$X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$d-->$\mu^{+}K^{-}$X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{K^{-}}$,$z^{K^{-}}$ LOW,$z^{K^{-}}$ HIGH,$M^{K^{-}}$,stat +,stat -,sys +,sys -
0.0244,0.02,0.03,0.24,0.2,0.3,1.765,0.424,0.4,0.45,0.0989,0.0029,-0.0029,0.0065,-0.0065
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.474,0.45,0.5,0.0732,0.0025,-0.0025,0.0048,-0.0048
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.524,0.5,0.55,0.0567,0.0022,-0.0022,0.0039,-0.0039
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.574,0.55,0.6,0.0406,0.0018,-0.0018,0.0031,-0.0031
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.624,0.6,0.65,0.0314,0.0016,-0.0016,0.0022,-0.0022
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.674,0.65,0.7,0.0235,0.0014,-0.0014,0.0015,-0.0015
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.724,0.7,0.75,0.013,0.0011,-0.0011,0.0009,-0.0009
0.0244,0.02,0.03,0.24,0.2,0.3,1.743,0.794,0.75,0.85,0.0111,0.0008,-0.0008,0.001,-0.001
0.0244,0.02,0.03,0.43,0.3,0.5,3.147,0.224,0.2,0.25,0.3258,0.0069,-0.0069,0.0232,-0.0232
0.0244,0.02,0.03,0.38,0.3,0.5,2.798,0.274,0.25,0.3,0.2591,0.0046,-0.0046,0.018,-0.018
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.324,0.3,0.35,0.1875,0.0038,-0.0038,0.013,-0.013
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.374,0.35,0.4,0.1437,0.0034,-0.0034,0.01,-0.01
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.424,0.4,0.45,0.1049,0.0028,-0.0028,0.0073,-0.0073
0.0244,0.02,0.03,0.38,0.3,0.5,2.748,0.474,0.45,0.5,0.0804,0.0026,-0.0026,0.0056,-0.0056
0.0244,0.02,0.03,0.37,0.3,0.5,2.655,0.524,0.5,0.55,0.0621,0.0025,-0.0025,0.0048,-0.0048
0.0244,0.02,0.03,0.35,0.3,0.5,2.553,0.574,0.55,0.6,0.0515,0.0026,-0.0026,0.0044,-0.0044
0.0244,0.02,0.03,0.34,0.3,0.5,2.458,0.624,0.6,0.65,0.0348,0.0024,-0.0024,0.0031,-0.0031
0.0244,0.02,0.03,0.33,0.3,0.5,2.37,0.673,0.65,0.7,0.0262,0.0028,-0.0028,0.0034,-0.0034
0.0244,0.02,0.03,0.32,0.3,0.5,2.287,0.724,0.7,0.75,0.0219,0.0032,-0.0032,0.002,-0.002
0.0244,0.02,0.03,0.31,0.3,0.5,2.102,0.791,0.75,0.85,0.0071,0.0047,-0.0047,0.0012,-0.0012
0.0244,0.02,0.03,0.59,0.5,0.7,4.255,0.224,0.2,0.25,0.3488,0.0078,-0.0078,0.0275,-0.0275
0.0244,0.02,0.03,0.59,0.5,0.7,4.255,0.274,0.25,0.3,0.2791,0.0072,-0.0072,0.022,-0.022
0.0244,0.02,0.03,0.58,0.5,0.7,4.243,0.324,0.3,0.35,0.1999,0.0063,-0.0063,0.0158,-0.0158
0.0244,0.02,0.03,0.56,0.5,0.7,4.043,0.374,0.35,0.4,0.1384,0.0061,-0.0061,0.0108,-0.0108
0.0244,0.02,0.03,0.53,0.5,0.7,3.812,0.424,0.4,0.45,0.1216,0.0079,-0.0079,0.0096,-0.0096
0.0345,0.03,0.04,0.14,0.1,0.15,1.49,0.574,0.55,0.6,0.0396,0.0043,-0.0043,0.0029,-0.0029
0.0345,0.03,0.04,0.14,0.1,0.15,1.42,0.624,0.6,0.65,0.025,0.0024,-0.0024,0.0016,-0.0016
0.0345,0.03,0.04,0.13,0.1,0.15,1.361,0.674,0.65,0.7,0.017,0.0016,-0.0016,0.001,-0.001
0.0346,0.03,0.04,0.13,0.1,0.15,1.312,0.724,0.7,0.75,0.0141,0.0013,-0.0013,0.0008,-0.0008
0.0347,0.03,0.04,0.12,0.1,0.15,1.286,0.794,0.75,0.85,0.0068,0.0006,-0.0006,0.0004,-0.0004
0.0345,0.03,0.04,0.19,0.15,0.2,2.024,0.424,0.4,0.45,0.0899,0.0095,-0.0095,0.0056,-0.0056
0.0345,0.03,0.04,0.18,0.15,0.2,1.892,0.474,0.45,0.5,0.06,0.0042,-0.0042,0.0037,-0.0037
0.0345,0.03,0.04,0.17,0.15,0.2,1.799,0.524,0.5,0.55,0.0499,0.003,-0.003,0.0032,-0.0032
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.574,0.55,0.6,0.0379,0.0025,-0.0025,0.0028,-0.0028
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.624,0.6,0.65,0.0273,0.0021,-0.0021,0.0017,-0.0017
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.674,0.65,0.7,0.0181,0.0017,-0.0017,0.0011,-0.0011
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.724,0.7,0.75,0.0111,0.0014,-0.0014,0.0007,-0.0007
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.794,0.75,0.85,0.0077,0.0008,-0.0008,0.0005,-0.0005
0.0345,0.03,0.04,0.27,0.2,0.3,2.838,0.324,0.3,0.35,0.1626,0.0072,-0.0072,0.0103,-0.0103
0.0345,0.03,0.04,0.25,0.2,0.3,2.612,0.374,0.35,0.4,0.1295,0.0047,-0.0047,0.0081,-0.0081
0.0345,0.03,0.04,0.24,0.2,0.3,2.503,0.424,0.4,0.45,0.0978,0.0036,-0.0036,0.0062,-0.0062
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.474,0.45,0.5,0.0748,0.0031,-0.0031,0.0047,-0.0047
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.524,0.5,0.55,0.0501,0.0025,-0.0025,0.0032,-0.0032
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.574,0.55,0.6,0.0392,0.0022,-0.0022,0.0026,-0.0026
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.624,0.6,0.65,0.0288,0.0019,-0.0019,0.0019,-0.0019
